smiles,bond_index,atom_type1,atom_type2,bde,bdfe
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)N([H])[H],12,6,1,73.90424346923828,66.68852233886719
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)N([H])[H],13,7,1,100.50183868408205,92.66927337646484
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)N([H])[H],14,7,1,100.50183868408205,92.66927337646484
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)N([H])[H],15,6,1,97.54313659667967,88.12548065185547
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)N([H])[H],16,6,1,97.54313659667967,88.12548065185547
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)N([H])[H],17,6,1,94.50160217285156,88.21333312988281
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)N([H])[H],18,6,1,94.50160217285156,88.21333312988281
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)N([H])[H],19,6,1,95.7252426147461,88.73981475830078
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)N([H])[H],20,6,1,95.7252426147461,88.73981475830078
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)N([H])[H],21,7,1,105.07450103759766,95.66751098632812
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)N([H])[H],22,7,1,107.20489501953124,99.09622192382812
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)N([H])[H],23,7,1,107.20489501953124,99.09622192382812
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H],0,8,6,112.42953491210938,100.49430847167967
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H],2,6,6,89.21797180175781,75.263427734375
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H],3,6,7,85.23140716552734,71.76757813
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H],4,6,6,69.51419067382812,55.79056930541992
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H],5,6,8,101.17327880859376,89.2186050415039
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H],7,6,1,78.0903549194336,69.62588500976562
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H],8,7,1,103.57286834716795,94.81848907470705
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H],9,7,1,103.57286834716795,94.81848907470705
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H],10,6,1,92.7652816772461,84.3943099975586
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H],11,6,1,92.7652816772461,84.3943099975586
